http_status,time_total
200,0.009371
200,0.045878
200,0.075464
200,0.025821
200,0.030136
200,0.078121
200,0.027563
200,0.028354
200,0.080071
200,0.025919
200,0.029224
200,0.151124
200,0.036136
200,0.034945
200,0.146686
200,0.033454
200,0.036185
200,0.123741
200,0.032774
200,0.030679
200,0.039176
200,0.035111
200,0.031173
200,0.029635
200,0.040211
200,0.091283
200,0.036944
200,0.036542
200,0.080429
200,0.033754
200,0.033770
200,0.072808
200,0.033225
200,0.032699
200,0.034978
200,0.032614
200,0.088784
200,0.033795
200,0.033829
200,0.134416
200,0.037781
200,0.030510
200,0.144583
200,0.036832
200,0.029684
200,0.069488
200,0.034345
200,0.037786
200,0.031149
200,0.028956
200,0.080995
200,0.033353
200,0.032851
200,0.085858
200,0.031236
200,0.039703
200,0.102111
200,0.034888
200,0.094701
200,0.030553
200,0.033998
200,0.163528
200,0.036821
200,0.039718
200,0.084254
200,0.092192
200,0.030799
200,0.150124
200,0.031647
200,0.031565
200,0.071256
200,0.034147
200,0.035579
200,0.087868
200,0.037124
200,0.035717
200,0.035460
200,0.104153
200,0.028685
200,0.030712
200,0.038199
200,0.063382
200,0.047554
200,0.031309
200,0.040494
200,0.045869
200,0.065701
200,0.036519
200,0.042874
200,0.036116
200,0.042327
200,0.133272
200,0.037777
200,0.043688
200,0.131113
200,0.036114
200,0.042483
200,0.127588
200,0.044099
200,0.039862
200,0.037673
200,0.045331
200,0.036234
200,0.039137
200,0.071536
200,0.040642
200,0.039574
200,0.079020
200,0.037955
200,0.047428
200,0.035972
200,0.039540
200,0.090086
200,0.040033
200,0.041463
200,0.128170
200,0.039574
200,0.036162
200,0.047513
200,0.036263
200,0.113104
200,0.036927
200,0.040195
200,0.126930
200,0.038038
200,0.039448
200,0.133368
200,0.041620
200,0.045511
200,0.093902
200,0.068888
200,0.038166
200,0.037961
200,0.131963
200,0.041068
200,0.037820
200,0.045271
200,0.038588
200,0.028381
200,0.044320
200,0.034902
200,0.079981
200,0.044969
200,0.036591
200,0.123682
200,0.038415
200,0.042520
200,0.042434
200,0.037374
200,0.132549
200,0.041001
200,0.042997
200,0.132095
200,0.045700
200,0.036626
200,0.071518
200,0.037992
200,0.037544
200,0.039562
200,0.067508
200,0.124142
200,0.037515
200,0.039895
200,0.142752
200,0.039801
200,0.089916
200,0.043560
200,0.039029
200,0.079912
200,0.038542
200,0.038297
200,0.040376
200,0.036931
200,0.134314
200,0.040027
200,0.038336
200,0.136360
200,0.044095
