timestamp,http_status,time_total
1788982190.617,200,0.006352
1788982191.636,200,0.038180
1788982192.679,200,0.097910
1788982193.784,200,0.056951
1788982194.847,200,0.035819
1788982195.902,200,0.043584
1788982196.957,200,0.038053
1788982198.009,200,0.093728
1788982199.109,200,0.036788
1788982200.160,200,0.040541
1788982201.214,200,0.087021
1788982202.307,200,0.035705
1788982203.360,200,0.042030
1788982204.412,200,0.072020
1788982205.490,200,0.039475
1788982206.546,200,0.042697
1788982207.604,200,0.041342
1788982208.654,200,0.043745
1788982209.706,200,0.146649
1788982210.859,200,0.048206
1788982211.918,200,0.043674
1788982212.974,200,0.120154
1788982214.100,200,0.038379
1788982215.156,200,0.042755
1788982216.210,200,0.038501
1788982217.254,200,0.047835
1788982218.316,200,0.095545
1788982219.417,200,0.041595
1788982220.469,200,0.037015
1788982221.520,200,0.048818
1788982222.575,200,0.036838
1788982223.623,200,0.042826
1788982224.683,200,0.044286
1788982225.745,200,0.039094
1788982226.798,200,0.039764
1788982227.844,200,0.038961
1788982228.902,200,0.042488
1788982229.957,200,0.045391
1788982231.008,200,0.037340
1788982232.058,200,0.036841
1788982233.108,200,0.042231
1788982234.166,200,0.047589
1788982235.233,200,0.088544
1788982236.327,200,0.043816
1788982237.381,200,0.038951
1788982238.437,200,0.132532
1788982239.576,200,0.037905
1788982240.628,200,0.045056
1788982241.689,200,0.048439
1788982242.755,200,0.047009
1788982243.818,200,0.049001
1788982244.874,200,0.045604
1788982245.942,200,0.043092
1788982246.996,200,0.034819
1788982248.045,200,0.030423
1788982249.082,200,0.041366
1788982250.143,200,0.099734
1788982251.248,200,0.084362
1788982252.338,200,0.037182
1788982253.387,200,0.040869
1788982254.446,200,0.130345
1788982255.584,200,0.042547
1788982256.640,200,0.044019
1788982257.702,200,0.034937
1788982258.748,200,0.047738
1788982259.811,200,0.152802
1788982260.971,200,0.040801
1788982262.034,200,0.046897
1788982263.094,200,0.074063
1788982264.175,200,0.043708
1788982265.235,200,0.038092
1788982266.284,200,0.037959
1788982267.332,200,0.040011
1788982268.382,200,0.095492
1788982269.485,200,0.043651
1788982270.546,200,0.046781
1788982271.611,200,0.153174
1788982272.769,200,0.060725
1788982273.837,200,0.037872
1788982274.891,200,0.130744
1788982276.028,200,0.043497
1788982277.080,200,0.041078
1788982278.134,200,0.108695
1788982279.249,200,0.045647
1788982280.307,200,0.123336
1788982281.437,200,0.035651
1788982282.489,200,0.042083
1788982283.543,200,0.122851
1788982284.673,200,0.045493
1788982285.735,200,0.075793
1788982286.817,200,0.040099
1788982287.866,200,0.038324
1788982288.917,200,0.118671
1788982290.042,200,0.039664
1788982291.093,200,0.044445
1788982292.154,200,0.036168
1788982293.200,200,0.044237
1788982294.255,200,0.120783
1788982295.384,200,0.045590
1788982296.445,200,0.042705
1788982297.499,200,0.157434
1788982298.663,200,0.039590
1788982299.715,200,0.039901
1788982300.762,200,0.038395
1788982301.819,200,0.044430
1788982302.874,200,0.131605
1788982304.012,200,0.039289
1788982305.070,200,0.036541
1788982306.116,200,0.109342
1788982307.231,200,0.038142
1788982308.277,200,0.122555
1788982309.406,200,0.050398
1788982310.471,200,0.045991
1788982311.536,200,0.054309
1788982312.596,200,0.044366
1788982313.660,200,0.047432
1788982314.719,200,0.044896
1788982315.776,200,0.039396
1788982316.825,200,0.053256
1788982317.885,200,0.036742
1788982318.940,200,0.045043
1788982319.999,200,0.135353
1788982321.141,200,0.040697
1788982322.193,200,0.038937
1788982323.243,200,0.083252
1788982324.334,200,0.039490
1788982325.387,200,0.042509
1788982326.448,200,0.045596
1788982327.504,200,0.037674
1788982328.557,200,0.138335
1788982329.702,200,0.042376
1788982330.756,200,0.128520
1788982331.891,200,0.047543
1788982332.957,200,0.038534
1788982334.006,200,0.133343
1788982335.146,200,0.036033
1788982336.199,200,0.042263
1788982337.247,200,0.075561
1788982338.329,200,0.045622
1788982339.385,200,0.044022
1788982340.438,200,0.037876
1788982341.485,200,0.047780
1788982342.542,200,0.087149
1788982343.635,200,0.038950
1788982344.692,200,0.042432
1788982345.749,200,0.050797
1788982346.806,200,0.041375
1788982347.862,200,0.036733
1788982348.910,200,0.050658
1788982349.972,200,0.041682
1788982351.026,200,0.085831
1788982352.119,200,0.042919
1788982353.173,200,0.039980
1788982354.230,200,0.122741
1788982355.360,200,0.042347
1788982356.419,200,0.037390
1788982357.469,200,0.038582
1788982358.525,200,0.045352
1788982359.578,200,0.116238
1788982360.701,200,0.036665
1788982361.749,200,0.037790
1788982362.804,200,0.075994
1788982363.887,200,0.033984
1788982364.944,200,0.040640
1788982365.997,200,0.148138
1788982367.153,200,0.045072
1788982368.210,200,0.087779
1788982369.304,200,0.042205
1788982370.367,200,0.039979
1788982371.417,200,0.179637
1788982372.604,200,0.039582
1788982373.658,200,0.036648
1788982374.706,200,0.039111
1788982375.754,200,0.037708
1788982376.809,200,0.137585
1788982377.952,200,0.043516
1788982379.010,200,0.041804
1788982380.071,200,0.049944
1788982381.127,200,0.039175
1788982382.182,200,0.044474
1788982383.246,200,0.044358
1788982384.304,200,0.041343
1788982385.367,200,0.028604
1788982386.401,200,0.140243
1788982387.547,200,0.041881
1788982388.610,200,0.082675
1788982389.699,200,0.049775
1788982390.764,200,0.044852
1788982391.833,200,0.149610
1788982392.989,200,0.111020
1788982394.106,200,0.039343
1788982395.154,200,0.042953
1788982396.212,200,0.044832
1788982397.265,200,0.133622
1788982398.406,200,0.058477
1788982399.482,200,0.035322
1788982400.526,200,0.077226
1788982401.611,200,0.041001
1788982402.664,200,0.036550
1788982403.709,200,0.039953
1788982404.762,200,0.042019
1788982405.824,200,0.146810
1788982406.977,200,0.044452
1788982408.032,200,0.041433
1788982409.079,200,0.079575
1788982410.166,200,0.041521
1788982411.218,200,0.061087
1788982412.285,200,0.049084
1788982413.347,200,0.052310
1788982414.419,200,0.049925
1788982415.480,200,0.052759
1788982416.549,200,0.116213
1788982417.672,200,0.051314
1788982418.743,200,0.046454
1788982419.807,200,0.137137
1788982420.951,200,0.054741
1788982422.021,200,0.043378
1788982423.080,200,0.032038
1788982424.118,200,0.054937
1788982425.190,200,0.123937
1788982426.320,200,0.050719
1788982427.386,200,0.052874
1788982428.457,200,0.046842
1788982429.519,200,0.056359
1788982430.594,200,0.070448
1788982431.671,200,0.050227
1788982432.730,200,0.067862
1788982433.804,200,0.046352
1788982434.866,200,0.049711
1788982435.933,200,0.073664
1788982437.014,200,0.053165
1788982438.088,200,0.127285
1788982439.222,200,0.045813
1788982440.288,200,0.043896
1788982441.348,200,0.266819
1788982442.622,200,0.048951
1788982443.681,200,0.140348
1788982444.827,200,0.047276
1788982445.888,200,0.039641
1788982446.947,200,0.129532
1788982448.083,200,0.043862
1788982449.140,200,0.037357
1788982450.191,200,0.039713
1788982451.238,200,0.043224
1788982452.290,200,0.178897
1788982453.477,200,0.047001
1788982454.545,200,0.045977
1788982455.606,200,0.124695
1788982456.737,200,0.039556
1788982457.788,200,0.046965
1788982458.849,200,0.039749
1788982459.910,200,0.049827
1788982460.974,200,0.130258
1788982462.112,200,0.045808
1788982463.172,200,0.052627
1788982464.238,200,0.050737
1788982465.297,200,0.046354
1788982466.358,200,0.089076
1788982467.453,200,0.043602
1788982468.507,200,0.211637
1788982469.724,200,0.139420
1788982470.870,200,0.049494
1788982471.935,200,0.049057
1788982473.004,200,0.165830
1788982474.176,200,0.055266
1788982475.242,200,0.085965
1788982476.335,200,0.043365
1788982477.400,200,0.044204
1788982478.453,200,0.050219
1788982479.519,200,0.047242
1788982480.583,200,0.142725
1788982481.732,200,0.047768
1788982482.791,200,0.050949
1788982483.858,200,0.114019
1788982484.978,200,0.041676
1788982486.038,200,0.051561
1788982487.102,200,0.047279
1788982488.167,200,0.050792
1788982489.231,200,0.134511
1788982490.372,200,0.049276
1788982491.437,200,0.044910
1788982492.499,200,0.081068
1788982493.586,200,0.036678
1788982494.635,200,0.084547
1788982495.726,200,0.041978
1788982496.785,200,0.034220
1788982497.826,200,0.043066
1788982498.889,200,0.041265
1788982499.949,200,0.176148
1788982501.132,200,0.044912
1788982502.195,200,0.048069
1788982503.257,200,0.042321
1788982504.309,200,0.044809
1788982505.370,200,0.128969
1788982506.506,200,0.042778
1788982507.567,200,0.046912
1788982508.633,200,0.152156
1788982509.792,200,0.046819
1788982510.852,200,0.090626
1788982511.949,200,0.042073
1788982512.998,200,0.036064
1788982514.047,200,0.079071
1788982515.132,200,0.049734
1788982516.193,200,0.048834
1788982517.250,200,0.035495
1788982518.295,200,0.037467
1788982519.353,200,0.142365
1788982520.502,200,0.037474
1788982521.554,200,0.047547
1788982522.621,200,0.135670
1788982523.763,200,0.044615
1788982524.827,200,0.045123
1788982525.887,200,0.045878
1788982526.941,200,0.038252
1788982527.991,200,0.094970
1788982529.092,200,0.047036
1788982530.155,200,0.047059
1788982531.211,200,0.147642
1788982532.366,200,0.042855
1788982533.421,200,0.043435
1788982534.479,200,0.044342
1788982535.540,200,0.041798
1788982536.596,200,0.080404
1788982537.684,200,0.042671
1788982538.746,200,0.036890
1788982539.796,200,0.127175
1788982540.930,200,0.039507
1788982541.990,200,0.036250
1788982543.039,200,0.040621
1788982544.091,200,0.039067
1788982545.146,200,0.036026
1788982546.189,200,0.040651
1788982547.252,200,0.042067
1788982548.310,200,0.141960
1788982549.458,200,0.044360
1788982550.514,200,0.042853
1788982551.575,200,0.130127
1788982552.711,200,0.044940
1788982553.772,200,0.039629
1788982554.822,200,0.051635
1788982555.885,200,0.039022
1788982556.938,200,0.037448
1788982557.983,200,0.043338
1788982559.045,200,0.041005
1788982560.098,200,0.145562
1788982561.250,200,0.041528
1788982562.304,200,0.039634
1788982563.366,200,0.079422
1788982564.451,200,0.109379
1788982565.567,200,0.040199
1788982566.619,200,0.050731
1788982567.676,200,0.039313
1788982568.730,200,0.037618
1788982569.775,200,0.047372
1788982570.837,200,0.055136
1788982571.899,200,0.042823
1788982572.955,200,0.036031
1788982574.002,200,0.158082
1788982575.167,200,0.042000
1788982576.226,200,0.289933
1788982577.521,200,0.120144
1788982578.648,200,0.036944
1788982579.698,200,0.043696
1788982580.752,200,0.158712
1788982581.916,200,0.325305
1788982583.249,200,0.036170
1788982584.297,200,0.083003
1788982585.387,200,0.036777
1788982586.446,200,0.038658
1788982587.499,200,0.187362
1788982588.693,200,0.032595
1788982589.739,200,0.024299
1788982590.770,200,0.046403
1788982591.838,200,0.039608
1788982592.894,200,0.131172
1788982594.031,200,0.080131
1788982595.117,200,0.046723
1788982596.172,200,0.152657
1788982597.332,200,0.040289
1788982598.391,200,0.041985
1788982599.452,200,0.051572
1788982600.510,200,0.089864
1788982601.605,200,0.047766
1788982602.660,200,0.043912
1788982603.713,200,0.043268
1788982604.774,200,0.132528
1788982605.914,200,0.036531
1788982606.967,200,0.039728
1788982608.023,200,0.138954
1788982609.168,200,0.053665
1788982610.235,200,0.042279
1788982611.286,200,0.059389
1788982612.351,200,0.043277
1788982613.400,200,0.046898
1788982614.453,200,0.047317
1788982615.516,200,0.037675
1788982616.571,200,0.138548
1788982617.716,200,0.044256
1788982618.775,200,0.043544
1788982619.827,200,0.044003
1788982620.881,200,0.037097
1788982621.928,200,0.087021
1788982623.022,200,0.046955
1788982624.084,200,0.043047
1788982625.142,200,0.076361
1788982626.226,200,0.043954
1788982627.289,200,0.044330
1788982628.344,200,0.046634
1788982629.401,200,0.038583
1788982630.446,200,0.087992
1788982631.541,200,0.039699
1788982632.591,200,0.045123
1788982633.651,200,0.132434
1788982634.790,200,0.036462
1788982635.842,200,0.046956
1788982636.906,200,0.055099
1788982637.969,200,0.041016
1788982639.027,200,0.024464
1788982640.057,200,0.126739
1788982641.189,200,0.045243
1788982642.242,200,0.130375
1788982643.379,200,0.044177
1788982644.439,200,0.050336
1788982645.504,200,0.081714
1788982646.591,200,0.152016
1788982647.749,200,0.043525
1788982648.802,200,0.074813
1788982649.884,200,0.046118
1788982650.943,200,0.043962
1788982651.994,200,0.039480
1788982653.043,200,0.045673
1788982654.101,200,0.250076
1788982655.359,200,0.044704
1788982656.419,200,0.042977
1788982657.470,200,0.040284
1788982658.525,200,0.039350
1788982659.575,200,0.087125
1788982660.669,200,0.035984
1788982661.725,200,0.035366
1788982662.774,200,0.081185
1788982663.861,200,0.035925
1788982664.914,200,0.047349
1788982665.976,200,0.045234
1788982667.031,200,0.043321
1788982668.085,200,0.368668
1788982669.461,200,0.042331
1788982670.517,200,0.038726
1788982671.574,200,0.099548
1788982672.681,200,0.041599
1788982673.741,200,0.040571
1788982674.794,200,0.039437
1788982675.847,200,0.044435
1788982676.911,200,0.152330
1788982678.070,200,0.045110
1788982679.128,200,0.037403
1788982680.173,200,0.137899
1788982681.318,200,0.036388
1788982682.371,200,0.042293
1788982683.425,200,0.044507
1788982684.483,200,0.039981
1788982685.536,200,0.059690
1788982686.604,200,0.036971
1788982687.665,200,0.326022
1788982688.996,200,0.102177
1788982690.106,200,0.033535
1788982691.160,200,0.038850
1788982692.216,200,0.087926
1788982693.311,200,0.037967
1788982694.366,200,0.034489
1788982695.414,200,0.139910
1788982696.560,200,0.034058
1788982697.603,200,0.033210
1788982698.650,200,0.144233
1788982699.801,200,0.035554
1788982700.850,200,0.034893
1788982701.897,200,0.055993
1788982702.967,200,0.039328
1788982704.020,200,0.031332
1788982705.058,200,0.039310
1788982706.118,200,0.039925
1788982707.170,200,0.088134
1788982708.264,200,0.184739
1788982709.456,200,0.033118
1788982710.503,200,0.075741
1788982711.585,200,0.041392
1788982712.637,200,0.040325
1788982713.694,200,0.039455
1788982714.745,200,0.037740
1788982715.793,200,0.054431
1788982716.855,200,0.037543
1788982717.907,200,0.035488
1788982718.955,200,0.088458
1788982720.050,200,0.038436
1788982721.106,200,0.048409
1788982722.175,200,0.038779
1788982723.230,200,0.036207
1788982724.279,200,0.060463
1788982725.346,200,0.040639
1788982726.407,200,0.041010
1788982727.461,200,0.074709
1788982728.542,200,0.037901
1788982729.593,200,0.037592
1788982730.649,200,0.074974
1788982731.731,200,0.035166
1788982732.783,200,0.041029
1788982733.834,200,0.040662
1788982734.886,200,0.038589
1788982735.942,200,0.093375
1788982737.042,200,0.036820
1788982738.095,200,0.038323
1788982739.151,200,0.146897
1788982740.304,200,0.038091
1788982741.361,200,0.044116
1788982742.418,200,0.054955
1788982743.480,200,0.036377
1788982744.529,200,0.028327
1788982745.565,200,0.035376
1788982746.618,200,0.036321
1788982747.669,200,0.144522
1788982748.820,200,0.036830
1788982749.869,200,0.041381
1788982750.924,200,0.142701
1788982752.072,200,0.040764
1788982753.124,200,0.040639
1788982754.179,200,0.075154
1788982755.260,200,0.046070
1788982756.320,200,0.038226
1788982757.368,200,0.044389
1788982758.424,200,0.031732
1788982759.471,200,0.077506
1788982760.555,200,0.040956
1788982761.615,200,0.045983
1788982762.670,200,0.139072
1788982763.816,200,0.037439
1788982764.867,200,0.042743
1788982765.924,200,0.071923
1788982767.002,200,0.044720
1788982768.065,200,0.040309
1788982769.120,200,0.041907
1788982770.179,200,0.039382
1788982771.233,200,0.048427
1788982772.289,200,0.040639
1788982773.348,200,0.046317
1788982774.409,200,0.078233
1788982775.494,200,0.039762
1788982776.548,200,0.045369
1788982777.604,200,0.127618
1788982778.737,200,0.036848
1788982779.784,200,0.040935
1788982780.838,200,0.039239
1788982781.887,200,0.042863
1788982782.948,200,0.042241
1788982783.997,200,0.033724
1788982785.050,200,0.036229
1788982786.103,200,0.082720
1788982787.192,200,0.038052
1788982788.245,200,0.083134
1788982789.333,200,0.057325
1788982790.396,200,0.043862
1788982791.451,200,0.002830
1788982792.460,200,0.013840
1788982793.494,200,0.006634
