timestamp,time_total
1788982190.617,0.600884
1788982192.243,0.886443
1788982194.150,0.636392
1788982195.806,0.638221
1788982197.482,0.643169
1788982199.154,0.605204
1788982200.781,0.615623
1788982202.419,0.637832
1788982204.079,0.652576
1788982205.762,0.646712
1788982207.435,0.706730
1788982209.171,0.699847
1788982210.904,0.656061
1788982212.591,0.647353
1788982214.271,0.652970
1788982215.958,0.738334
1788982217.726,0.675785
1788982219.430,0.654109
1788982221.117,0.665169
1788982222.817,0.645903
1788982224.490,0.645589
1788982226.163,0.656616
1788982227.851,0.666380
1788982229.547,0.798883
1788982231.368,0.641104
1788982233.045,0.650566
1788982234.720,0.647518
1788982236.402,0.652408
1788982238.080,0.664538
1788982239.770,0.676603
1788982241.478,0.658584
1788982243.172,0.674658
1788982244.874,0.689739
1788982246.594,1.462102
1788982249.080,0.666751
1788982250.780,0.643070
1788982252.451,0.679902
1788982254.154,0.659192
1788982255.834,0.664730
1788982257.523,0.731597
1788982259.278,0.716528
1788982261.052,0.644584
1788982262.729,0.661357
1788982264.422,0.665424
1788982266.123,0.677283
1788982267.820,0.668885
1788982269.522,0.681260
1788982271.227,0.681540
1788982272.938,0.659852
1788982274.619,0.681953
1788982276.331,0.646583
1788982278.001,0.946300
1788982279.969,0.650446
1788982281.642,0.641678
1788982283.320,0.956645
1788982285.304,0.643493
1788982286.980,0.643928
1788982288.651,0.649252
1788982290.325,0.700057
1788982292.055,0.650132
1788982293.738,0.642205
1788982295.402,0.657092
1788982297.086,0.963133
1788982299.075,0.657068
1788982300.762,0.678354
1788982302.473,0.660223
1788982304.166,0.639767
1788982305.834,0.879924
1788982307.747,0.654402
1788982309.428,0.656964
1788982311.115,0.666622
1788982312.805,0.654117
1788982314.498,0.660348
1788982316.184,0.688654
1788982317.891,0.661929
1788982319.586,0.651125
1788982321.266,0.650474
1788982322.939,0.654276
1788982324.626,0.665741
1788982326.316,0.677124
1788982328.010,1.198939
1788982330.228,0.665906
1788982331.923,0.661588
1788982333.615,0.652500
1788982335.294,0.678986
1788982337.002,0.644754
1788982338.672,0.668612
1788982340.366,0.643901
1788982342.030,0.645390
1788982343.697,0.656882
1788982345.378,0.662427
1788982347.066,0.638449
1788982348.733,0.722981
1788982350.534,0.658167
1788982352.220,0.666392
1788982353.917,0.705472
1788982355.683,0.646857
1788982357.357,0.655583
1788982359.033,0.664673
1788982360.724,0.684996
1788982362.433,0.654207
1788982364.127,0.654111
1788982365.809,0.878888
1788982367.712,0.636736
1788982369.373,0.633676
1788982371.036,0.814778
1788982372.886,0.651129
1788982374.568,0.647956
1788982376.242,0.699013
1788982377.969,0.639035
1788982379.634,0.653741
1788982381.317,0.666252
1788982383.010,0.661453
1788982384.704,0.666502
1788982386.400,0.734835
1788982388.157,0.663580
