timestamp,time_total
1788977511.447,0.477055
1788977512.961,0.419791
1788977514.411,0.471939
1788977515.907,0.472301
1788977517.401,0.472966
1788977518.907,0.445322
1788977520.384,0.431470
1788977521.850,0.275121
1788977523.154,0.452180
1788977524.645,0.428785
1788977526.113,0.445451
1788977527.592,0.685621
1788977529.319,0.464029
1788977530.813,0.289577
1788977532.137,0.282749
1788977533.448,0.275536
1788977534.758,0.284101
1788977536.077,0.283634
1788977537.385,0.273292
1788977538.687,0.276279
1788977539.994,0.420544
1788977541.442,0.455644
1788977542.938,0.448208
1788977544.423,0.274572
1788977545.726,0.277690
1788977547.032,0.275033
1788977548.341,0.292391
1788977549.660,0.276916
1788977550.972,0.276774
1788977552.284,0.277537
1788977553.588,0.282695
1788977554.906,0.275132
1788977556.208,0.284989
1788977557.525,0.288984
1788977558.842,0.281680
1788977560.153,0.283606
1788977561.465,0.275553
1788977562.775,0.283599
1788977564.092,0.271797
1788977565.391,0.272295
1788977566.694,0.280081
1788977568.011,0.283365
1788977569.330,0.282556
1788977570.647,0.283946
1788977571.965,0.283164
1788977573.276,0.282641
1788977574.587,0.278917
1788977575.897,0.283749
1788977577.208,0.285236
1788977578.526,0.274986
1788977579.836,0.279669
1788977581.146,0.271484
1788977582.453,0.281543
1788977583.762,0.284361
1788977585.074,0.282013
1788977586.383,0.276805
1788977587.695,0.277184
1788977589.007,0.282794
1788977590.318,0.275195
1788977591.631,0.463508
1788977593.123,0.662622
1788977594.824,0.462962
1788977596.325,0.430794
1788977597.786,0.454464
1788977599.273,0.467259
1788977600.772,0.568253
1788977602.380,0.683966
1788977604.108,0.389303
1788977605.524,0.455588
1788977607.009,0.285206
1788977608.330,0.284757
1788977609.639,0.282915
1788977610.957,0.291206
1788977612.276,0.275582
1788977613.586,0.275024
1788977614.889,0.282852
1788977616.208,0.277085
1788977617.520,0.289989
1788977618.844,0.288094
1788977620.159,0.276083
1788977621.467,0.279525
1788977622.774,0.276390
1788977624.079,0.277965
1788977625.383,0.277252
1788977626.689,0.278480
1788977628.002,0.272956
1788977629.303,0.434145
1788977630.768,0.281384
1788977632.085,0.281977
1788977633.395,0.283788
1788977634.713,0.283777
1788977636.030,0.289108
1788977637.348,0.271325
1788977638.647,0.289448
1788977639.965,0.283903
1788977641.276,0.304586
1788977642.609,0.276182
1788977643.913,0.279764
1788977645.218,0.283777
1788977646.537,0.275233
1788977647.846,0.286611
1788977649.167,0.273064
1788977650.471,0.278273
1788977651.776,0.278120
1788977653.089,0.282277
1788977654.407,0.281665
1788977655.716,0.276824
1788977657.020,0.273730
1788977658.330,0.282633
1788977659.640,0.283268
1788977660.952,0.394758
1788977662.372,0.429969
1788977663.828,0.282885
1788977665.146,0.282067
1788977666.456,0.276840
1788977667.768,0.433062
1788977669.230,0.277327
1788977670.543,0.280602
1788977671.857,0.275790
1788977673.161,0.283802
1788977674.469,0.284043
1788977675.782,0.276762
1788977677.096,0.282957
1788977678.407,0.288890
1788977679.726,0.282511
1788977681.037,0.280863
1788977682.353,0.282576
1788977683.664,0.284390
1788977684.973,0.274028
1788977686.278,0.285804
1788977687.599,0.277511
1788977688.905,0.281357
1788977690.215,0.276842
1788977691.527,0.291508
1788977692.854,0.279334
1788977694.169,0.281709
1788977695.486,0.284789
1788977696.797,0.274975
1788977698.099,0.274038
1788977699.405,0.281117
1788977700.714,0.289654
1788977702.033,0.280770
1788977703.343,0.423591
1788977704.802,0.446628
1788977706.282,0.485031
1788977707.800,0.456123
1788977709.292,0.413864
1788977710.735,0.453487
1788977712.213,0.284024
1788977713.529,0.277121
1788977714.842,0.283065
1788977716.152,0.274922
1788977717.455,0.291409
1788977718.780,0.281450
1788977720.090,0.279423
1788977721.402,0.275695
1788977722.713,0.286186
1788977724.027,0.273208
1788977725.341,0.413393
1788977726.794,0.692500
