timestamp,http_status,time_total
1789147247.284,200,0.010302
1789147248.308,200,0.039567
1789147249.353,200,0.052518
1789147250.411,200,0.062507
1789147251.478,200,0.099188
1789147252.584,200,0.058696
1789147253.661,200,0.044817
1789147254.716,200,0.121115
1789147255.844,200,0.056199
1789147256.910,200,0.058036
1789147257.980,200,0.061666
1789147259.056,200,0.056712
1789147260.124,200,0.174185
1789147261.305,200,0.062027
1789147262.383,200,0.056565
1789147263.450,200,0.116904
1789147264.574,200,0.057123
1789147265.644,200,0.040514
1789147266.697,200,0.061486
1789147267.771,200,0.052965
1789147268.833,200,0.112183
1789147269.952,200,0.055875
1789147271.020,200,0.056365
1789147272.088,200,0.115567
1789147273.210,200,0.065284
1789147274.288,200,0.061211
1789147275.361,200,0.054630
1789147276.424,200,0.056821
1789147277.493,200,0.112739
1789147278.612,200,0.064349
1789147279.688,200,0.042940
1789147280.741,200,0.068616
1789147281.816,200,0.051997
1789147282.879,200,0.042849
1789147283.936,200,0.058231
1789147285.003,200,0.047852
1789147286.067,200,0.129842
1789147287.203,200,0.054108
1789147288.269,200,0.113814
1789147289.389,200,0.065516
1789147290.471,200,0.067896
1789147291.555,200,0.101552
1789147292.664,200,0.056850
1789147293.734,200,0.043239
1789147294.787,200,0.057176
1789147295.854,200,0.045433
1789147296.910,200,0.123225
1789147298.039,200,0.057669
1789147299.108,200,0.031577
1789147300.147,200,0.062723
1789147301.220,200,0.064690
1789147302.301,200,0.094995
1789147303.402,200,0.059082
1789147304.476,200,0.056121
1789147305.542,200,0.108132
1789147306.656,200,0.086950
1789147307.749,200,0.050298
1789147308.809,200,0.053554
1789147309.870,200,0.064384
1789147310.944,200,0.058233
1789147312.008,200,0.063579
1789147313.082,200,0.045048
1789147314.139,200,0.110568
1789147315.256,200,0.054676
1789147316.327,200,0.085369
1789147317.418,200,0.056411
1789147318.483,200,0.052367
1789147319.547,200,0.114302
1789147320.667,200,0.050916
1789147321.730,200,0.041909
1789147322.780,200,0.077534
1789147323.865,200,0.052834
1789147324.928,200,0.037583
1789147325.973,200,0.055299
1789147327.047,200,0.054752
1789147328.113,200,0.124790
1789147329.243,200,0.090896
1789147330.340,200,0.061403
1789147331.419,200,0.057090
1789147332.492,200,0.058230
1789147333.560,200,0.075629
1789147334.641,200,0.072995
1789147335.722,200,0.055684
1789147336.792,200,0.058455
1789147337.860,200,0.050995
1789147338.927,200,0.082969
1789147340.016,200,0.064556
1789147341.090,200,0.050111
1789147342.157,200,0.059059
1789147343.228,200,0.058815
1789147344.296,200,0.054078
1789147345.356,200,0.064271
1789147346.432,200,0.050804
1789147347.499,200,0.116826
1789147348.622,200,0.061008
1789147349.694,200,0.042336
1789147350.746,200,0.066717
1789147351.824,200,0.053628
1789147352.890,200,0.114043
1789147354.009,200,0.098531
1789147355.114,200,0.064175
1789147356.189,200,0.091409
1789147357.288,200,0.064084
1789147358.369,200,0.053614
1789147359.430,200,0.070127
1789147360.511,200,0.048835
1789147361.567,200,0.116026
1789147362.688,200,0.066397
1789147363.766,200,0.035756
1789147364.818,200,0.061741
1789147365.893,200,0.053160
1789147366.954,200,0.111378
1789147368.072,200,0.057740
1789147369.143,200,0.041998
1789147370.197,200,0.069408
1789147371.276,200,0.064639
1789147372.351,200,0.055408
1789147373.413,200,0.056421
1789147374.489,200,0.049438
1789147375.550,200,0.071641
1789147376.635,200,0.060680
1789147377.706,200,0.056761
1789147378.769,200,0.063623
1789147379.845,200,0.059993
1789147380.921,200,0.077137
1789147382.004,200,0.052945
1789147383.068,200,0.065879
1789147384.143,200,0.063259
1789147385.215,200,0.117151
1789147386.338,200,0.105259
1789147387.449,200,0.056075
1789147388.516,200,0.044782
1789147389.570,200,0.060824
1789147390.642,200,0.053394
1789147391.707,200,0.120876
1789147392.833,200,0.059527
1789147393.899,200,0.053190
1789147394.963,200,0.062339
1789147396.038,200,0.051614
1789147397.102,200,0.084065
1789147398.192,200,0.067793
1789147399.273,200,0.048433
1789147400.333,200,0.094150
1789147401.434,200,0.063853
1789147402.509,200,0.045077
1789147403.572,200,0.053540
1789147404.639,200,0.045937
1789147405.700,200,0.121959
1789147406.828,200,0.054296
1789147407.893,200,0.041892
1789147408.945,200,0.053128
1789147410.008,200,0.054175
1789147411.079,200,0.126096
1789147412.211,200,0.058064
1789147413.281,200,0.046092
1789147414.338,200,0.054459
1789147415.407,200,0.062073
1789147416.480,200,0.110063
1789147417.596,200,0.058102
1789147418.667,200,0.063840
1789147419.741,200,0.085948
1789147420.833,200,0.061310
1789147421.907,200,0.040085
1789147422.957,200,0.059292
1789147424.024,200,0.048930
1789147425.083,200,0.068751
1789147426.158,200,0.053543
1789147427.224,200,0.048701
1789147428.287,200,0.075391
1789147429.369,200,0.064776
1789147430.446,200,0.039103
1789147431.495,200,0.064070
1789147432.571,200,0.063262
1789147433.646,200,0.121590
1789147434.774,200,0.066740
1789147435.853,200,0.039421
1789147436.902,200,0.054994
1789147437.966,200,0.055848
1789147439.040,200,0.121178
1789147440.167,200,0.064911
1789147441.247,200,0.043036
1789147442.300,200,0.064884
1789147443.376,200,0.058276
1789147444.446,200,0.116257
1789147445.569,200,0.066274
1789147446.650,200,0.062862
1789147447.725,200,0.097363
