timestamp,http_status,time_total
1789491191.637,200,0.011635
1789491192.659,200,0.044911
1789491193.710,200,0.056044
1789491194.771,200,0.048597
1789491195.825,200,0.043788
1789491196.879,200,0.055204
1789491197.944,200,0.029122
1789491198.984,200,0.061176
1789491200.060,200,0.049002
1789491201.123,200,0.041924
1789491202.174,200,0.051796
1789491203.238,200,0.042161
1789491204.289,200,0.052108
1789491205.356,200,0.040346
1789491206.409,200,0.048655
1789491207.469,200,0.052824
1789491208.532,200,0.063078
1789491209.609,200,0.049795
1789491210.671,200,0.046953
1789491211.733,200,0.043596
1789491212.789,200,0.055137
1789491213.859,200,0.044156
1789491214.915,200,0.066570
1789491215.990,200,0.038386
1789491217.041,200,0.050540
1789491218.098,200,0.051444
1789491219.159,200,0.045259
1789491220.218,200,0.051061
1789491221.287,200,0.042926
1789491222.341,200,0.059994
1789491223.418,200,0.050767
1789491224.481,200,0.041770
1789491225.536,200,0.054641
1789491226.597,200,0.040130
1789491227.648,200,0.037224
1789491228.694,200,0.055966
1789491229.757,200,0.042526
1789491230.824,200,0.033593
1789491231.871,200,0.047256
1789491232.930,200,0.039450
1789491233.979,200,0.046534
1789491235.039,200,0.047955
1789491236.100,200,0.042475
1789491237.150,200,0.045341
1789491238.206,200,0.041292
1789491239.256,200,0.035259
1789491240.298,200,0.021265
1789491241.333,200,0.052462
1789491242.400,200,0.048377
1789491243.458,200,0.047024
1789491244.518,200,0.046853
1789491245.577,200,0.033302
1789491246.619,200,0.057447
1789491247.688,200,0.043364
1789491248.743,200,0.058075
1789491249.813,200,0.079666
1789491250.898,200,0.044472
1789491251.949,200,0.056267
1789491253.018,200,0.038464
1789491254.066,200,0.052526
1789491255.136,200,0.034632
1789491256.188,200,0.061664
1789491257.264,200,0.053879
1789491258.331,200,0.047298
1789491259.389,200,0.050215
1789491260.448,200,0.051302
1789491261.509,200,0.058434
1789491262.578,200,0.045290
1789491263.635,200,0.041027
1789491264.692,200,0.051365
1789491265.756,200,0.040595
1789491266.812,200,0.039666
1789491267.857,200,0.041070
1789491268.910,200,0.036324
1789491269.957,200,0.049539
1789491271.012,200,0.046070
1789491272.073,200,0.053509
1789491273.140,200,0.039447
1789491274.199,200,0.045539
1789491275.256,200,0.041833
1789491276.312,200,0.034984
1789491277.358,200,0.053450
1789491278.417,200,0.026174
1789491279.453,200,0.052517
1789491280.521,200,0.035515
1789491281.573,200,0.054908
1789491282.641,200,0.045409
1789491283.702,200,0.042772
1789491284.755,200,0.051420
1789491285.821,200,0.027867
1789491286.861,200,0.059149
1789491287.932,200,0.046686
1789491288.996,200,0.036953
1789491290.043,200,0.067771
1789491291.117,200,0.045235
1789491292.174,200,0.053746
1789491293.241,200,0.044789
1789491294.293,200,0.044870
1789491295.352,200,0.043837
1789491296.407,200,0.036357
1789491297.454,200,0.060584
1789491298.526,200,0.040902
1789491299.576,200,0.059214
1789491300.647,200,0.053668
1789491301.707,200,0.046569
1789491302.764,200,0.049896
1789491303.831,200,0.026025
1789491304.863,200,0.058412
1789491305.937,200,0.041526
1789491306.992,200,0.058619
1789491308.062,200,0.047627
1789491309.123,200,0.042194
1789491310.178,200,0.045149
1789491311.235,200,0.037925
1789491312.285,200,0.061872
1789491313.358,200,0.042558
1789491314.407,200,0.041302
1789491315.457,200,0.045387
1789491316.517,200,0.038361
1789491317.570,200,0.059098
1789491318.639,200,0.047372
1789491319.705,200,0.060458
1789491320.777,200,0.052561
1789491321.839,200,0.038634
1789491322.889,200,0.046925
1789491323.953,200,0.036144
1789491325.004,200,0.079862
1789491326.090,200,0.052366
1789491327.153,200,0.026238
1789491328.189,200,0.050023
1789491329.248,200,0.050985
1789491330.306,200,0.048426
1789491331.378,200,0.049962
1789491332.442,200,0.042759
1789491333.496,200,0.048867
1789491334.559,200,0.040411
1789491335.611,200,0.057122
1789491336.677,200,0.047288
1789491337.741,200,0.053009
1789491338.808,200,0.057477
1789491339.881,200,0.070424
1789491340.958,200,0.055983
1789491342.024,200,0.036024
1789491343.073,200,0.044053
1789491344.131,200,0.052824
1789491345.197,200,0.039121
1789491346.245,200,0.061404
1789491347.315,200,0.038672
1789491348.370,200,0.055458
1789491349.439,200,0.044207
1789491350.493,200,0.046032
1789491351.546,200,0.052011
1789491352.614,200,0.046393
1789491353.677,200,0.040118
1789491354.724,200,0.057398
1789491355.791,200,0.048401
1789491356.853,200,0.049677
1789491357.915,200,0.046859
1789491358.980,200,0.038915
1789491360.032,200,0.062606
1789491361.106,200,0.047658
1789491362.161,200,0.043961
1789491363.225,200,0.057299
1789491364.298,200,0.037389
1789491365.342,200,0.063631
1789491366.418,200,0.049765
1789491367.481,200,0.034623
1789491368.526,200,0.050579
1789491369.588,200,0.035125
1789491370.634,200,0.048476
1789491371.691,200,0.034192
1789491372.733,200,0.046334
1789491373.788,200,0.039917
1789491374.841,200,0.045867
1789491375.897,200,0.050119
1789491376.957,200,0.058550
1789491378.026,200,0.078184
1789491379.111,200,0.027391
1789491380.149,200,0.059945
1789491381.219,200,0.044174
1789491382.272,200,0.046036
1789491383.327,200,0.053693
1789491384.393,200,0.023364
1789491385.422,200,0.060301
1789491386.500,200,0.041959
1789491387.551,200,0.043763
1789491388.601,200,0.045955
1789491389.665,200,0.045150
1789491390.720,200,0.048669
1789491391.786,200,0.042548
1789491392.839,200,0.038173
1789491393.888,200,0.048199
1789491394.953,200,0.037550
1789491396.000,200,0.057485
1789491397.070,200,0.039846
1789491398.123,200,0.058394
1789491399.192,200,0.043495
