timestamp,time_total
1789491191.637,0.437061
1789491193.104,0.670303
1789491194.812,0.489931
1789491196.324,0.527693
1789491197.892,0.560682
1789491199.478,0.482980
1789491200.984,0.680530
1789491202.700,0.496234
1789491204.224,0.479139
1789491205.731,0.443680
1789491207.214,0.412772
1789491208.661,0.419089
1789491210.110,0.465672
1789491211.603,0.499528
1789491213.143,0.429966
1789491214.602,0.459024
1789491216.092,0.496104
1789491217.612,0.419783
1789491219.065,0.417004
1789491220.518,0.556730
1789491222.111,0.490468
1789491223.637,0.520553
1789491225.202,0.436709
1789491226.661,0.499281
1789491228.187,0.542797
1789491229.773,0.508028
1789491231.316,0.464347
1789491232.816,0.515623
1789491234.374,0.451031
1789491235.842,0.461658
1789491237.328,0.478945
1789491238.841,0.433290
1789491240.304,0.467406
1789491241.818,0.492079
1789491243.329,0.486254
1789491244.854,0.641676
1789491246.526,0.515707
1789491248.060,0.415154
1789491249.494,0.401316
1789491250.929,0.420582
1789491252.381,0.646607
1789491254.065,0.490462
1789491255.587,0.448603
1789491257.067,0.424343
1789491258.516,0.634157
1789491260.181,0.430658
1789491261.642,0.433263
1789491263.111,0.461818
1789491264.594,0.684326
1789491266.322,0.533951
1789491267.886,0.546826
1789491269.462,0.550830
1789491271.055,0.454510
1789491272.541,0.467646
1789491274.031,0.455220
1789491275.518,0.424282
1789491276.982,0.635684
1789491278.647,0.571788
1789491280.256,0.684208
1789491281.972,0.510610
1789491283.506,0.535239
1789491285.081,0.441611
1789491286.555,0.487885
1789491288.069,0.465299
1789491289.557,0.682437
1789491291.270,0.487403
1789491292.778,0.530682
1789491294.343,0.455809
1789491295.838,0.493395
1789491297.360,0.435036
1789491298.816,0.432323
1789491300.282,0.417534
1789491301.741,0.575737
1789491303.344,0.482312
1789491304.851,0.479036
1789491306.350,0.633937
1789491308.021,0.622198
1789491309.671,0.632186
1789491311.344,0.486576
1789491312.854,0.483929
1789491314.370,0.417900
1789491315.822,0.439952
1789491317.298,0.472115
1789491318.798,0.479347
1789491320.298,0.433909
1789491321.764,0.415580
1789491323.215,0.449573
1789491324.686,0.467804
1789491326.177,0.481326
1789491327.689,0.419911
1789491329.137,0.476419
1789491330.639,0.475659
1789491332.143,0.473525
1789491333.655,0.416564
1789491335.100,0.424665
1789491336.543,0.446075
1789491338.023,0.480032
1789491339.526,0.492373
1789491341.044,0.643901
1789491342.731,0.505721
1789491344.262,0.519550
1789491345.819,0.403221
1789491347.241,0.442798
1789491348.708,0.500440
1789491350.227,0.585112
1789491351.846,0.452090
1789491353.327,0.438715
1789491354.797,0.411328
1789491356.244,0.394313
1789491357.670,0.434715
1789491359.133,0.464706
1789491360.633,0.497253
1789491362.161,0.563781
1789491363.761,0.494774
1789491365.287,0.533406
1789491366.853,0.445700
1789491368.314,0.631318
1789491369.977,0.466252
1789491371.485,0.691130
1789491373.213,0.493860
1789491374.729,0.516833
1789491376.284,0.418257
1789491377.730,0.445062
1789491379.215,0.501493
1789491380.738,0.446545
1789491382.204,0.661903
1789491383.895,0.511964
1789491385.428,0.647756
1789491387.120,0.468346
1789491388.606,0.491456
1789491390.137,0.445255
1789491391.624,0.448070
1789491393.097,0.507678
1789491394.642,0.464418
1789491396.143,0.409063
1789491397.578,0.515990
1789491399.134,0.491183
1789491400.644,0.485813
1789491402.160,0.405528
1789491403.605,0.428305
