timestamp,time_total
1789340026.778,0.471305
1789340028.269,0.519617
1789340029.808,0.506189
1789340031.332,0.503159
1789340032.865,0.469925
1789340034.359,0.494631
1789340035.870,0.509230
1789340037.404,0.680401
1789340039.117,0.514925
1789340040.646,0.476997
1789340042.148,0.671708
1789340043.851,0.524562
1789340045.396,0.470304
1789340046.899,0.472192
1789340048.394,0.666970
1789340050.088,0.642083
1789340051.763,0.549757
1789340053.335,0.488553
1789340054.850,0.436872
1789340056.309,0.426312
1789340057.763,0.516948
1789340059.296,0.516721
1789340060.834,0.517698
1789340062.385,0.422333
1789340063.833,0.508133
1789340065.360,0.525962
1789340066.910,0.438644
1789340068.369,0.444276
1789340069.837,0.565551
1789340071.418,0.697868
1789340073.141,0.505778
1789340074.673,0.542129
1789340076.251,0.477627
1789340077.750,0.476799
1789340079.241,0.542821
1789340080.815,0.465302
1789340082.315,0.504644
1789340083.834,0.522625
1789340085.369,0.509233
1789340086.901,0.492413
1789340088.411,0.462711
1789340089.902,0.451906
1789340091.391,0.480781
1789340092.888,0.501288
1789340094.418,0.493586
1789340095.931,0.449483
1789340097.404,0.465681
1789340098.892,0.484875
1789340100.400,0.448374
1789340101.878,0.458094
1789340103.366,0.507352
1789340104.890,0.512668
1789340106.426,0.459162
1789340107.905,0.462633
1789340109.399,0.628812
1789340111.054,0.473658
1789340112.554,0.451604
1789340114.028,0.484431
1789340115.530,0.676403
1789340117.240,0.453740
1789340118.719,0.662440
1789340120.410,0.428455
1789340121.859,0.468031
1789340123.356,0.493439
1789340124.873,0.507717
1789340126.415,0.435027
1789340127.882,0.451237
1789340129.349,0.507421
1789340130.881,0.546151
1789340132.458,0.482243
1789340133.961,0.514287
1789340135.490,0.484846
1789340136.998,0.690270
1789340138.721,0.522014
1789340140.257,0.664841
1789340141.955,0.555394
1789340143.541,0.506560
1789340145.076,0.444349
1789340146.541,0.510250
1789340148.071,0.534960
1789340149.637,0.454026
1789340151.122,0.529216
1789340152.669,0.491304
1789340154.191,0.434997
1789340155.655,0.520096
1789340157.208,0.536776
1789340158.772,0.550375
1789340160.357,0.460840
1789340161.841,0.528258
1789340163.399,0.507987
1789340164.921,0.472550
1789340166.424,0.522454
1789340167.972,0.447321
1789340169.441,0.430246
1789340170.899,0.432312
1789340172.355,0.516985
1789340173.888,0.483033
1789340175.388,0.633925
1789340177.058,0.497965
1789340178.571,0.486212
1789340180.087,0.453558
1789340181.571,0.431362
1789340183.034,0.546073
1789340184.605,0.516828
1789340186.141,0.504689
1789340187.675,0.465640
1789340189.173,0.497903
1789340190.691,0.470496
1789340192.181,0.524765
1789340193.740,0.545623
1789340195.313,0.504832
1789340196.836,0.460437
1789340198.323,0.677645
1789340200.027,0.519063
1789340201.572,0.616118
1789340203.220,0.457128
1789340204.708,0.513148
1789340206.236,0.487848
1789340207.740,0.692336
1789340209.467,0.516673
1789340210.997,0.443008
1789340212.458,0.438585
1789340213.917,0.441987
1789340215.389,0.513207
1789340216.919,0.490365
1789340218.423,0.514532
1789340219.971,0.446908
1789340221.448,0.543596
1789340223.020,0.457614
1789340224.496,0.463908
1789340225.989,0.660100
1789340227.677,0.669206
1789340229.379,0.580491
1789340230.986,0.506864
1789340232.520,0.672919
1789340234.225,0.516885
1789340235.757,0.475614
1789340237.262,0.445004
1789340238.727,0.470312
1789340240.217,0.523208
1789340241.753,0.483426
1789340243.255,0.441530
1789340244.720,0.476216
1789340246.229,0.519133
1789340247.764,0.501220
1789340249.281,0.439283
1789340250.741,0.424557
1789340252.196,0.511489
1789340253.722,0.480645
1789340255.226,0.467400
1789340256.730,0.468715
1789340258.233,0.504004
1789340259.752,0.490681
1789340261.259,0.447513
1789340262.724,0.474565
1789340264.233,0.494273
1789340265.740,0.473647
1789340267.227,0.474092
1789340268.729,0.458985
1789340270.217,0.521964
1789340271.759,0.551035
1789340273.329,0.457087
1789340274.802,0.440962
1789340276.270,0.472555
1789340277.768,0.519588
1789340279.302,0.514736
1789340280.848,0.431965
1789340282.304,0.512924
1789340283.839,0.620362
1789340285.489,0.425459
1789340286.948,0.457202
1789340288.435,0.488085
1789340289.939,0.518748
1789340291.487,0.462416
1789340292.966,0.661475
1789340294.652,0.641430
